SpeedOverLimit,LocationType,TimeOfDay,PastViolations,FineAmount
20,Highway,Night,1,2700
10,SchoolZone,Day,3,4000
5,Residential,Evening,0,500
15,Highway,Morning,2,2500
8,SchoolZone,Evening,1,2500
25,Highway,Day,0,2500
12,Urban,Night,0,1320
18,Residential,Day,1,2300
3,SchoolZone,Morning,0,750
30,Highway,Night,4,5300
7,Urban,Evening,0,700
14,Residential,Morning,2,2400
9,Highway,Day,1,1400
4,Residential,Night,0,440
6,Urban,Day,1,1100
22,SchoolZone,Night,0,6050
16,Highway,Evening,2,2600
11,Urban,Morning,0,1100
2,Residential,Day,0,200
13,SchoolZone,Evening,3,4750
