Vehicle_Type,Speed,Location_Risk,Road_Condition,Speed_Exceeded,Previous_Violations
Auto,14,Medium,Highway,no,0
Car,85,Low,Residential,yes,2
Auto,14,Medium,Expressway,no,0
Bike,83,Medium,Expressway,yes,1
Bike,102,Medium,Residential,yes,0
Heavy Vehicle,15,Medium,School,no,0
Auto,2,Low,Residential,no,2
Heavy Vehicle,86,High,Residential,yes,1
Auto,32,Medium,Highway,no,3
Bike,95,Low,School,yes,3
Auto,80,High,School,yes,2
Car,45,Low,School,no,3
Car,14,Low,Highway,no,1
Auto,119,High,Residential,yes,0
Auto,58,Low,School,yes,1
Bike,119,Low,School,yes,1
Heavy Vehicle,106,Low,Highway,yes,1
Bike,96,Medium,Expressway,yes,2
Auto,108,Medium,Expressway,yes,3
Car,18,High,Highway,no,0
Bike,34,Low,Highway,no,1
Car,23,Low,Expressway,no,1
Bike,76,Low,Residential,yes,3
Heavy Vehicle,7,Low,Highway,no,0
Heavy Vehicle,11,High,Residential,no,3
Auto,99,Medium,Residential,yes,1
Auto,118,High,Residential,yes,3
Car,118,High,Highway,yes,0
Bike,8,Low,School,no,1
Bike,26,Medium,Residential,no,0
Bike,51,Medium,Highway,no,1
Bike,21,High,Highway,no,1
Heavy Vehicle,57,Low,School,no,1
Heavy Vehicle,78,Medium,Residential,yes,0
Auto,90,Low,School,yes,3
Auto,14,High,Highway,no,0
Heavy Vehicle,35,High,Expressway,no,3
Heavy Vehicle,93,High,Expressway,yes,3
Heavy Vehicle,103,Medium,Highway,yes,1
Heavy Vehicle,9,Medium,Highway,no,1
Bike,14,Medium,Residential,no,0
Car,14,Low,School,no,0
Car,39,High,Highway,no,2
Heavy Vehicle,73,Low,Residential,yes,2
Auto,17,High,Highway,no,3
Car,50,Low,Highway,no,3
Auto,99,Low,Highway,yes,3
Auto,114,Medium,Highway,yes,1
Car,46,Low,Highway,no,2
Car,65,High,Expressway,no,0
Bike,78,High,School,yes,0
Heavy Vehicle,6,High,Expressway,no,3
Auto,118,Medium,Highway,yes,3
Car,32,Medium,Residential,no,3
Bike,17,Medium,Expressway,no,3
Heavy Vehicle,13,Medium,Residential,no,1
Car,34,Low,Expressway,no,2
Auto,94,High,School,yes,1
Auto,60,High,School,yes,3
Auto,82,Low,Expressway,yes,3
Car,110,Medium,Highway,yes,1
Car,87,Medium,School,yes,2
Heavy Vehicle,102,High,School,yes,2
Auto,97,Low,Expressway,yes,2
Bike,120,High,Expressway,yes,1
Auto,40,High,Residential,no,1
Auto,28,Low,Expressway,no,3
Auto,8,High,School,no,1
Auto,31,High,Residential,no,1
Car,11,Medium,Residential,no,1
Car,60,Low,School,no,2
Auto,7,High,School,no,1
Bike,61,High,Residential,yes,1
Bike,60,Medium,Highway,no,0
Heavy Vehicle,50,High,Expressway,no,2
Bike,24,High,School,no,0
Car,62,Medium,School,no,3
Auto,90,Low,Expressway,yes,3
Auto,46,Low,Expressway,no,2
Car,68,Medium,Highway,no,1
Car,78,Low,Residential,no,0
Car,57,High,Expressway,no,1
Car,96,High,Residential,yes,0
Auto,37,Low,School,no,3
Car,9,Low,Residential,no,2
Bike,98,Low,Highway,yes,3
Bike,20,Medium,Expressway,no,0
Car,8,Medium,School,no,3
Auto,89,Low,Residential,yes,2
Bike,23,High,Expressway,no,2
Car,102,Low,Highway,yes,1
Car,11,Medium,Expressway,no,0
Bike,26,High,Highway,no,1
Heavy Vehicle,101,Medium,Expressway,yes,1
Heavy Vehicle,70,Medium,Residential,no,3
Car,105,Medium,School,yes,0
Bike,108,Low,School,yes,2
Auto,101,Low,Expressway,yes,1
Car,59,Medium,Expressway,no,3
Auto,29,Low,Expressway,no,3
Car,97,Medium,Highway,yes,2
Auto,86,High,Highway,yes,2
Bike,1,Low,Residential,no,1
Auto,36,Low,School,no,2
Auto,52,Low,School,yes,1
Heavy Vehicle,22,Low,School,no,1
Car,119,Low,School,yes,1
Heavy Vehicle,3,Medium,School,no,0
Car,92,Low,Residential,yes,1
Bike,119,Low,Residential,yes,2
Heavy Vehicle,77,High,School,yes,3
Bike,100,High,Highway,yes,0
Car,44,High,Residential,no,2
Auto,59,Low,Expressway,yes,1
Heavy Vehicle,72,Low,Highway,yes,0
Bike,34,High,School,no,3
Bike,110,Medium,Expressway,yes,3
Bike,75,High,Highway,yes,3
Auto,88,Medium,Residential,yes,0
Auto,55,Medium,Highway,yes,2
Auto,20,Low,School,no,1
Auto,11,High,Residential,no,2
Auto,96,Low,Highway,yes,3
Car,26,High,Highway,no,0
Auto,76,High,School,yes,2
Car,29,Medium,Highway,no,1
Heavy Vehicle,49,High,Residential,no,1
Auto,92,High,School,yes,0
Car,105,High,Residential,yes,3
Auto,26,High,Residential,no,1
Bike,97,Low,Expressway,yes,1
Heavy Vehicle,49,Medium,Expressway,no,3
Bike,105,Medium,Expressway,yes,0
Heavy Vehicle,47,Low,School,no,1
Heavy Vehicle,102,Medium,School,yes,3
Heavy Vehicle,24,Low,Highway,no,2
Bike,53,Low,Expressway,no,1
Auto,31,Low,Residential,no,1
Auto,40,Medium,Highway,no,2
Car,28,High,Highway,no,3
Auto,2,Low,Highway,no,3
Heavy Vehicle,99,Low,Expressway,yes,3
Bike,64,Medium,School,yes,3
Auto,112,Low,School,yes,1
Car,107,Medium,Highway,yes,3
Car,7,High,Expressway,no,3
Bike,56,High,Residential,no,2
Car,120,Medium,Expressway,yes,0
Heavy Vehicle,82,Medium,School,yes,3
Auto,67,Medium,School,yes,0
Car,108,Low,Highway,yes,1
Bike,72,Medium,Residential,yes,0
Car,64,High,Residential,no,3
Auto,57,Medium,School,yes,1
Heavy Vehicle,116,Medium,School,yes,2
Heavy Vehicle,15,Medium,Residential,no,0
Auto,114,Medium,Expressway,yes,1
Car,110,Medium,School,yes,1
Bike,71,Low,School,yes,0
Car,79,Low,Residential,no,3
Car,38,Medium,Residential,no,0
Heavy Vehicle,39,Low,School,no,0
Auto,81,Low,Residential,yes,2
Heavy Vehicle,43,High,Highway,no,3
Heavy Vehicle,113,High,Expressway,yes,0
Bike,103,High,School,yes,2
Bike,18,Medium,School,no,2
